track,unit,experiment_name,run_id,dataset,seed,model_variant,monitor_preset,trigger_mode,confirm_theta,confirm_window,weights,log_path,acc_final,mean_acc,acc_min,drift_flag_count,drift_events_merged,MDR_win,MTD_win,MTFA_win,MTR_win,MDR_tol,MTD_tol,MTFA_tol,MTR_tol,delay_p50,delay_p90,delay_p99,miss_rate_tol500,n_drifts
J,sample_idx,trackJ_twostage_sweep,20260108-002650-1bk_theta0.40_w1,sea_abrupt4,5,ts_drift_adapt,error_divergence_ph_meta,two_stage,0.4,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed5/20260108-002650-1bk_theta0.40_w1/sea_abrupt4__ts_drift_adapt__seed5.csv,0.8761,0.8258706816479675,0.390625,30,30,0.0,839.0,1925.12,2.2945411203814063,1.0,,1659.5862068965516,,823.0,1098.2,1188.92,1.0,4
J,sample_idx,trackJ_twostage_sweep,20260108-002650-1bk_theta0.40_w1,stagger_abrupt3,1,ts_drift_adapt,error_divergence_ph_meta,two_stage,0.4,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed1/20260108-002650-1bk_theta0.40_w1/stagger_abrupt3__ts_drift_adapt__seed1.csv,0.92396484375,0.92913084933334,0.078125,12,12,0.0,47.0,4807.111111111111,102.27895981087471,0.0,47.0,4807.111111111111,102.27895981087471,47.0,59.800000000000004,62.68,0.0,2
J,sample_idx,trackJ_twostage_sweep,20260108-002650-1bk_theta0.40_w1,stagger_abrupt3,2,ts_drift_adapt,error_divergence_ph_meta,two_stage,0.4,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed2/20260108-002650-1bk_theta0.40_w1/stagger_abrupt3__ts_drift_adapt__seed2.csv,0.92705078125,0.9304427785754157,0.171875,13,13,0.0,79.0,4384.0,55.49367088607595,0.0,79.0,4384.0,55.49367088607595,79.0,91.8,94.67999999999999,0.0,2
J,sample_idx,trackJ_twostage_sweep,20260108-002650-1bk_theta0.40_w1,stagger_abrupt3,3,ts_drift_adapt,error_divergence_ph_meta,two_stage,0.4,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed3/20260108-002650-1bk_theta0.40_w1/stagger_abrupt3__ts_drift_adapt__seed3.csv,0.93060546875,0.9362664837806833,0.0625,12,12,0.0,47.0,5063.111111111111,107.725768321513,0.0,47.0,5063.111111111111,107.725768321513,47.0,59.800000000000004,62.68,0.0,2
J,sample_idx,trackJ_twostage_sweep,20260108-002650-1bk_theta0.40_w1,stagger_abrupt3,4,ts_drift_adapt,error_divergence_ph_meta,two_stage,0.4,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed4/20260108-002650-1bk_theta0.40_w1/stagger_abrupt3__ts_drift_adapt__seed4.csv,0.9302734375,0.9410062476451967,0.125,11,11,0.0,79.0,5400.0,68.35443037974683,0.0,79.0,5400.0,68.35443037974683,79.0,91.8,94.67999999999999,0.0,2
J,sample_idx,trackJ_twostage_sweep,20260108-002650-1bk_theta0.40_w1,stagger_abrupt3,5,ts_drift_adapt,error_divergence_ph_meta,two_stage,0.4,1,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed5/20260108-002650-1bk_theta0.40_w1/stagger_abrupt3__ts_drift_adapt__seed5.csv,0.92013671875,0.9142552946112359,0.125,14,14,0.0,79.0,4224.0,53.46835443037975,0.0,79.0,4224.0,53.46835443037975,79.0,117.39999999999999,126.04,0.0,2
J,sample_idx,trackJ_twostage_sweep,20260108-002828-a8c_theta0.40_w2,sea_abrupt4,1,ts_drift_adapt,error_divergence_ph_meta,two_stage,0.4,2,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260108-002828-a8c_theta0.40_w2/sea_abrupt4__ts_drift_adapt__seed1.csv,0.87624,0.8180773299580424,0.25,31,31,0.0,743.0,1861.5384615384614,2.505435345273838,0.75,447.0,1668.9655172413793,14.934814471958651,663.0,1079.0,1187.0,0.75,4
J,sample_idx,trackJ_twostage_sweep,20260108-002828-a8c_theta0.40_w2,sea_abrupt4,2,ts_drift_adapt,error_divergence_ph_meta,two_stage,0.4,2,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260108-002828-a8c_theta0.40_w2/sea_abrupt4__ts_drift_adapt__seed2.csv,0.86428,0.8024971321667472,0.265625,29,29,0.0,791.0,1906.6666666666667,2.4104509060261274,0.75,383.0,1694.8148148148148,17.70041582052026,791.0,1079.0,1187.0,0.75,4
J,sample_idx,trackJ_twostage_sweep,20260108-002828-a8c_theta0.40_w2,sea_abrupt4,3,ts_drift_adapt,error_divergence_ph_meta,two_stage,0.4,2,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed3/20260108-002828-a8c_theta0.40_w2/sea_abrupt4__ts_drift_adapt__seed3.csv,0.88398,0.838260528077035,0.359375,28,28,0.0,551.0,2048.0,3.716878402903811,0.5,103.0,1884.16,36.58563106796117,471.0,1079.0,1187.0,0.5,4
J,sample_idx,trackJ_twostage_sweep,20260108-002828-a8c_theta0.40_w2,sea_abrupt4,4,ts_drift_adapt,error_divergence_ph_meta,two_stage,0.4,2,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed4/20260108-002828-a8c_theta0.40_w2/sea_abrupt4__ts_drift_adapt__seed4.csv,0.88168,0.8365801156437974,0.421875,30,30,0.0,615.0,1902.08,3.092813008130081,0.5,231.0,1761.1851851851852,15.248356581689915,599.0,1079.0,1187.0,0.5,4
