track,unit,experiment_name,run_id,dataset,seed,group,model_variant,monitor_preset,trigger_mode,trigger_threshold,confirm_window,weights,use_severity_v2,severity_gate,severity_gate_min_streak,entropy_mode,severity_decay,freeze_baseline_steps,severity_scheduler_scale,log_path,acc_final,mean_acc,acc_min,drift_flag_count,drift_events_merged,MDR_win,MTD_win,MTFA_win,MTR_win,MDR_tol,MTD_tol,MTFA_tol,MTR_tol,recovery_W,post_mean_acc,post_mean_acc_std,post_min_acc,post_min_acc_std,recovery_time_to_pre90,recovery_time_to_pre90_std
L,sample_idx,trackL_gating_sweep,20260108-003754-er1_v2_gate_m1,INSECTS_abrupt_balanced,1,v2_gate_m1,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,1,uncertain,0.95,5,2.0,logs/trackL_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed1/20260108-003754-er1_v2_gate_m1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed1.csv,0.21301114538195168,0.1999366159078618,0.125,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.1936580304268361,0.005671139422268959,0.1928109123335478,0.0060334209690125805,178.4,81.87062965435163
L,sample_idx,trackL_gating_sweep,20260108-003754-er1_v2_gate_m1,INSECTS_abrupt_balanced,2,v2_gate_m1,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,1,uncertain,0.95,5,2.0,logs/trackL_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed2/20260108-003754-er1_v2_gate_m1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed2.csv,0.19821371127973206,0.20284803061691975,0.16741071428571427,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.1968026115823895,0.002693698910591055,0.1960012281122053,0.0024732706875555716,178.4,81.87062965435163
L,sample_idx,trackL_gating_sweep,20260108-003754-er1_v2_gate_m1,INSECTS_abrupt_balanced,3,v2_gate_m1,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,1,uncertain,0.95,5,2.0,logs/trackL_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed3/20260108-003754-er1_v2_gate_m1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed3.csv,0.20273620073041043,0.19465578324056687,0.12890625,8,8,0.2,5605.5,14933.333333333334,3.3300627360033297,1.0,,6400.0,,1000,0.19196024707420403,0.006296264817919313,0.19111096489427393,0.006828091291682869,178.4,81.87062965435163
L,sample_idx,trackL_gating_sweep,20260108-003754-er1_v2_gate_m1,INSECTS_abrupt_balanced,4,v2_gate_m1,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,1,uncertain,0.95,5,2.0,logs/trackL_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed4/20260108-003754-er1_v2_gate_m1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed4.csv,0.19007701477851155,0.1920168452572827,0.125,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.18866126925905022,0.006626938191165415,0.18764018516406725,0.005638657134591414,178.4,81.87062965435163
L,sample_idx,trackL_gating_sweep,20260108-003754-er1_v2_gate_m1,INSECTS_abrupt_balanced,5,v2_gate_m1,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,1,uncertain,0.95,5,2.0,logs/trackL_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed5/20260108-003754-er1_v2_gate_m1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed5.csv,0.19265048157889758,0.1826118411713136,0.04296875,8,8,0.2,5605.5,14933.333333333334,3.3300627360033297,1.0,,6400.0,,1000,0.18121360141520612,0.006373390883749616,0.18044081574111273,0.007125642769449086,178.4,81.87062965435163
L,sample_idx,trackL_gating_sweep,20260108-003754-er1_v2_gate_m1,INSECTS_abrupt_balanced,6,v2_gate_m1,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,1,uncertain,0.95,5,2.0,logs/trackL_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed6/20260108-003754-er1_v2_gate_m1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed6.csv,0.20943478343141522,0.20064894707192682,0.16339285714285715,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.19257367237621187,0.006530894071838062,0.191947321913677,0.0067186667177203205,178.4,81.87062965435163
L,sample_idx,trackL_gating_sweep,20260108-003754-er1_v2_gate_m1,INSECTS_abrupt_balanced,7,v2_gate_m1,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,1,uncertain,0.95,5,2.0,logs/trackL_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed7/20260108-003754-er1_v2_gate_m1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed7.csv,0.19929229662989384,0.18920718933696362,0.14453125,8,8,0.4,2593.3333333333335,11200.0,7.197943444730077,1.0,,6400.0,,1000,0.18394032533727475,0.009872074655608779,0.18332353750156924,0.010298995753738015,178.4,81.87062965435163
L,sample_idx,trackL_gating_sweep,20260108-003754-er1_v2_gate_m1,INSECTS_abrupt_balanced,8,v2_gate_m1,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,1,uncertain,0.95,5,2.0,logs/trackL_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed8/20260108-003754-er1_v2_gate_m1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed8.csv,0.19830832402974624,0.19259141083061648,0.15998641304347827,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.18513760408646016,0.006478011621611707,0.1841810410085817,0.006536387765854383,178.4,81.87062965435163
L,sample_idx,trackL_gating_sweep,20260108-003754-er1_v2_gate_m1,INSECTS_abrupt_balanced,9,v2_gate_m1,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,1,uncertain,0.95,5,2.0,logs/trackL_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed9/20260108-003754-er1_v2_gate_m1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed9.csv,0.1951861032792779,0.1869991128901082,0.0703125,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.18153143576268102,0.005636391166098314,0.18073726986490768,0.005476508219769291,178.4,81.87062965435163
L,sample_idx,trackL_gating_sweep,20260108-003754-er1_v2_gate_m1,INSECTS_abrupt_balanced,10,v2_gate_m1,ts_drift_adapt_severity,error_divergence_ph_meta,or,0.5,200,"error_rate=0.5,divergence=0.3,teacher_entropy=0.2",1,confirmed_streak,1,uncertain,0.95,5,2.0,logs/trackL_gating_sweep/INSECTS_abrupt_balanced/ts_drift_adapt_severity/seed10/20260108-003754-er1_v2_gate_m1/INSECTS_abrupt_balanced__ts_drift_adapt_severity__seed10.csv,0.19692697787953906,0.19430864870112094,0.16089221014492755,8,8,0.2,5349.5,14933.333333333334,3.4894226874785805,1.0,,6400.0,,1000,0.1872235167555782,0.0036808408930777887,0.18634082384071032,0.0034318916603690375,178.4,81.87062965435163
