dataset_name,model_variant,seed,signal_name,detector_type,params,value_scale,n_gt_drifts,n_detected,MDR,MTD,MTFA,MTR
sea_abrupt4,baseline_student,2,student_error_rate,adwin,"{""delta"": 0.001}",1.0,4,1,0.75,7103.0,,
sea_abrupt4,baseline_student,2,student_error_rate,ph,"{""alpha"": 0.15, ""delta"": 0.005, ""min_instances"": 25, ""threshold"": 0.05}",1.0,4,31,0.0,999.0,1846.1538461538462,1.848001848001848
sea_abrupt4,baseline_student,2,student_error_rate,ph,"{""alpha"": 0.15, ""delta"": 0.005, ""min_instances"": 25, ""threshold"": 0.1}",1.0,4,31,0.0,999.0,1846.1538461538462,1.848001848001848
sea_abrupt4,baseline_student,2,student_error_rate,ph,"{""alpha"": 0.15, ""delta"": 0.005, ""min_instances"": 25, ""threshold"": 0.2}",1.0,4,30,0.0,647.0,1876.48,2.9002782071097375
sea_abrupt4,baseline_student,2,student_error_rate,ph,"{""alpha"": 0.15, ""delta"": 0.005, ""min_instances"": 25, ""threshold"": 0.3}",1.0,4,30,0.0,775.0,1902.08,2.454296774193548
sea_abrupt4,baseline_student,2,teacher_entropy,ph,"{""alpha"": 0.5, ""delta"": 0.01, ""min_instances"": 20, ""threshold"": 0.5}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,2,teacher_entropy,ph,"{""alpha"": 0.5, ""delta"": 0.01, ""min_instances"": 20, ""threshold"": 1.0}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,2,teacher_entropy,ph,"{""alpha"": 0.5, ""delta"": 0.01, ""min_instances"": 20, ""threshold"": 2.0}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,2,teacher_entropy,ph,"{""alpha"": 0.5, ""delta"": 0.01, ""min_instances"": 20, ""threshold"": 5.0}",1.0,4,0,1.0,,,
sea_abrupt4,baseline_student,2,teacher_entropy,adwin,"{""delta"": 0.1}",1.0,4,2,0.5,3551.0,,
sea_abrupt4,baseline_student,2,teacher_entropy,adwin,"{""delta"": 0.05}",1.0,4,2,0.5,5599.0,,
