step,seen_samples,sample_idx,dataset_name,dataset_type,model_variant,seed,metric_accuracy,metric_kappa,student_error_rate,teacher_entropy,divergence_js,drift_flag,drift_severity,regime,alpha,lr,lambda_u,tau,timestamp,supervised_loss,unsupervised_loss
11,704,703,sine_abrupt4,sine,baseline_student,2,0.671875,0.3112771255780862,0.3333333333333333,0.6833882331848145,0.009818848222494125,0,0.0,mild_drift,0.960314501953125,0.0012998535156250003,0.8000976562500001,0.85502197265625,1763995971.734964,0.530160129070282,0.04103279113769531
12,768,767,sine_abrupt4,sine,baseline_student,2,0.6666666666666666,0.3014957189043238,0.5,0.6777310371398926,0.014914224855601788,0,0.0,mild_drift,0.9603072509765624,0.0012999267578125001,0.800048828125,0.855010986328125,1763995971.743016,0.5513977408409119,0.06359902024269104
13,832,831,sine_abrupt4,sine,baseline_student,2,0.6778846153846154,0.3293591833542869,0.16666666666666666,0.6825248003005981,0.008084164001047611,0,0.0,mild_drift,0.9603036254882812,0.00129996337890625,0.8000244140625,0.8550054931640625,1763995971.7509341,0.5008451342582703,0.03358472138643265
14,896,895,sine_abrupt4,sine,baseline_student,2,0.6908482142857143,0.35821266032271404,0.6666666666666666,0.6800547242164612,0.010756699368357658,0,0.0,mild_drift,0.9603018127441405,0.0012999816894531252,0.8000122070312501,0.8550027465820312,1763995971.7590654,0.7265165448188782,0.04518318176269531
15,960,959,sine_abrupt4,sine,baseline_student,2,0.7052083333333333,0.39152870350462265,0.0,0.6768391132354736,0.008905265480279922,0,0.0,mild_drift,0.9603009063720702,0.0012999908447265626,0.8000061035156251,0.8550013732910156,1763995971.7672424,0.49430274963378906,0.037395574152469635
16,1024,1023,sine_abrupt4,sine,baseline_student,2,0.712890625,0.4063416942735447,0.0,0.6800932288169861,0.00959337130188942,0,0.0,mild_drift,0.9603004531860351,0.0012999954223632815,0.8000030517578125,0.8550006866455078,1763995971.7752514,0.38147225975990295,0.0397907979786396
17,1088,1087,sine_abrupt4,sine,baseline_student,2,0.7113970588235294,0.4073148813179417,0.5,0.6743465065956116,0.009241752326488495,0,0.0,mild_drift,0.9603002265930175,0.0012999977111816407,0.8000015258789063,0.8550003433227539,1763995971.7834754,0.5385525822639465,0.038594238460063934
18,1152,1151,sine_abrupt4,sine,baseline_student,2,0.7170138888888888,0.4216938712657837,0.0,0.6775878667831421,0.010409203357994556,0,0.0,mild_drift,0.9603001132965088,0.0012999988555908205,0.8000007629394532,0.8550001716613769,1763995971.791517,0.3561690151691437,0.043763186782598495
19,1216,1215,sine_abrupt4,sine,baseline_student,2,0.7236842105263158,0.43667844113729815,0.3333333333333333,0.6770592331886292,0.01381957158446312,0,0.0,mild_drift,0.9603000566482544,0.0012999994277954102,0.8000003814697266,0.8550000858306884,1763995971.7997644,0.56375652551651,0.05907844379544258
20,1280,1279,sine_abrupt4,sine,baseline_student,2,0.73203125,0.45507171546164504,0.0,0.6776670217514038,0.013920811004936695,0,0.0,mild_drift,0.9603000283241272,0.0012999997138977053,0.8000001907348633,0.8550000429153441,1763995971.8076797,0.5282174944877625,0.06030233949422836
21,1344,1343,sine_abrupt4,sine,baseline_student,2,0.7395833333333334,0.4725274725274727,0.16666666666666666,0.6748191714286804,0.017367152497172356,0,0.0,stable,0.9751500141620636,0.0010499998569488526,0.9000000953674316,0.9000000214576721,1763995971.815648,0.4277729094028473,0.07391738891601562
22,1408,1407,sine_abrupt4,sine,baseline_student,2,0.7421875,0.4788864509498446,0.0,0.6730049252510071,0.012040405534207821,0,0.0,stable,0.9825750070810317,0.0009249999284744264,0.9500000476837158,0.9225000107288361,1763995971.8239086,0.3586624562740326,0.05165208503603935
