track,dataset,seed,group,run_id,confirm_theta,confirm_window,confirm_cooldown,confirmed_count_total,horizon,confirm_rate_per_10k,median_gap_between_confirms,p10_gap_between_confirms,acc_min_raw,acc_min@2000,post_min@W1000,post_mean@W1000,recovery_time_to_pre90
R,INSECTS_abrupt_balanced,3,v2_gate_m1,20260108-110809-6za_v2_gate_m1_theta0.50_w1_cd0,0.5,1,0,38,52847,7.190569001078585,1280.0,1280.0,0.15551403985507245,0.15551403985507245,0.18063819006722961,0.18124355779131332,178.4
R,INSECTS_abrupt_balanced,4,v2_gate_m1,20260108-110809-6za_v2_gate_m1_theta0.50_w1_cd0,0.5,1,0,38,52847,7.190569001078585,1280.0,1280.0,0.16536458333333334,0.16536458333333334,0.19062322089450454,0.19162632780703387,178.4
R,INSECTS_abrupt_balanced,5,v2_gate_m1,20260108-110809-6za_v2_gate_m1_theta0.50_w1_cd0,0.5,1,0,40,52847,7.569020001135353,1280.0,1280.0,0.12109375,0.15109827898550723,0.1850473934769657,0.18574699462609992,178.4
R,INSECTS_abrupt_balanced,6,v2_gate_m1,20260108-110809-6za_v2_gate_m1_theta0.50_w1_cd0,0.5,1,0,37,52847,7.001343501050202,1280.0,1280.0,0.03125,0.1611328125,0.19588482578633276,0.1967299457119251,178.4
R,INSECTS_abrupt_balanced,7,v2_gate_m1,20260108-110809-6za_v2_gate_m1_theta0.50_w1_cd0,0.5,1,0,40,52847,7.569020001135353,1280.0,1280.0,0.1576653079710145,0.1576653079710145,0.1851353664619828,0.18607158776438693,178.4
R,INSECTS_abrupt_balanced,8,v2_gate_m1,20260108-110809-6za_v2_gate_m1_theta0.50_w1_cd0,0.5,1,0,37,52847,7.001343501050202,1280.0,1280.0,0.16519474637681159,0.16519474637681159,0.1920856985872483,0.19295824117695184,178.4
R,INSECTS_abrupt_balanced,9,v2_gate_m1,20260108-110809-6za_v2_gate_m1_theta0.50_w1_cd0,0.5,1,0,39,52847,7.379794501106969,1280.0,1280.0,0.11328125,0.1665534420289855,0.1868364355090471,0.18746944362789764,178.4
R,INSECTS_abrupt_balanced,10,v2_gate_m1,20260108-110809-6za_v2_gate_m1_theta0.50_w1_cd0,0.5,1,0,39,52847,7.379794501106969,1280.0,1280.0,0.17522321428571427,0.17522321428571427,0.208700239543664,0.20957374782822638,178.4
R,sea_abrupt4,1,v2_gate_m3,20260108-110909-vau_v2_gate_m3_theta0.50_w1_cd0,0.5,1,0,151,50000,30.2,320.0,320.0,0.40625,0.73095703125,,,
R,sea_abrupt4,2,v2_gate_m3,20260108-110909-vau_v2_gate_m3_theta0.50_w1_cd0,0.5,1,0,147,50000,29.4,320.0,320.0,0.34375,0.732421875,,,
R,sea_abrupt4,3,v2_gate_m3,20260108-110909-vau_v2_gate_m3_theta0.50_w1_cd0,0.5,1,0,153,50000,30.6,320.0,320.0,0.609375,0.7670454545454546,,,
R,sea_abrupt4,4,v2_gate_m3,20260108-110909-vau_v2_gate_m3_theta0.50_w1_cd0,0.5,1,0,152,50000,30.4,320.0,320.0,0.46875,0.72265625,,,
R,sea_abrupt4,5,v2_gate_m3,20260108-110909-vau_v2_gate_m3_theta0.50_w1_cd0,0.5,1,0,149,50000,29.8,320.0,320.0,0.328125,0.736328125,,,
R,INSECTS_abrupt_balanced,1,v2_gate_m3,20260108-110909-vau_v2_gate_m3_theta0.50_w1_cd0,0.5,1,0,39,52847,7.379794501106969,1280.0,1280.0,0.08984375,0.16729910714285715,0.19885957745860583,0.19970069386981268,178.4
R,INSECTS_abrupt_balanced,2,v2_gate_m3,20260108-110909-vau_v2_gate_m3_theta0.50_w1_cd0,0.5,1,0,39,52847,7.379794501106969,1280.0,1280.0,0.16434151785714285,0.16434151785714285,0.19346656440589202,0.19418525138332368,178.4
R,INSECTS_abrupt_balanced,3,v2_gate_m3,20260108-110909-vau_v2_gate_m3_theta0.50_w1_cd0,0.5,1,0,38,52847,7.190569001078585,1280.0,1280.0,0.07421875,0.1478713768115942,0.18063138753855051,0.1811073683588129,178.4
R,INSECTS_abrupt_balanced,4,v2_gate_m3,20260108-110909-vau_v2_gate_m3_theta0.50_w1_cd0,0.5,1,0,39,52847,7.379794501106969,1280.0,1280.0,0.15625,0.17756696428571428,0.19885240008002375,0.199715221773242,178.4
