track,run_id,dataset,seed,model_variant,mode,log_path,acc_final,mean_acc,acc_min,drift_flag_count,MDR_win,MTD_win,MTFA_win,MTR_win,MDR_tol500,MTD_tol500,MTFA_tol500,MTR_tol500,miss_rate_tol500,delay_p90,post_mean_acc_W1000,post_min_acc_W1000,recovery_time_to_pre90
J,20260108-002201-hoo_theta0.30_w1,stagger_abrupt3,3,ts_drift_adapt,,logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed3/20260108-002201-hoo_theta0.30_w1/stagger_abrupt3__ts_drift_adapt__seed3.csv,0.9312109375,0.9456932910273114,0.453125,14,0.0,47.0,4072.7272727272725,86.65377176015474,0.0,47.0,4480.0,95.31914893617021,,59.800000000000004,,,
J,20260108-002201-hoo_theta0.30_w1,stagger_abrupt3,4,ts_drift_adapt,,logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed4/20260108-002201-hoo_theta0.30_w1/stagger_abrupt3__ts_drift_adapt__seed4.csv,0.9282421875,0.9441780279882511,0.40625,15,0.0,79.0,3605.3333333333335,45.63713080168777,0.0,79.0,3605.3333333333335,45.63713080168777,,91.8,,,
J,20260108-002201-hoo_theta0.30_w1,stagger_abrupt3,5,ts_drift_adapt,,logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed5/20260108-002201-hoo_theta0.30_w1/stagger_abrupt3__ts_drift_adapt__seed5.csv,0.9317578125,0.9484228053650774,0.828125,15,0.0,79.0,4010.6666666666665,50.767932489451475,0.0,79.0,4010.6666666666665,50.767932489451475,,117.39999999999999,,,
J,20260108-002340-qv8_theta0.30_w2,sea_abrupt4,1,ts_drift_adapt,,logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260108-002340-qv8_theta0.30_w2/sea_abrupt4__ts_drift_adapt__seed1.csv,0.86646,0.8058074267012401,0.25,32,0.0,679.0,1787.2592592592594,2.632193312605684,0.75,127.0,1664.0,52.40944881889764,0.75,1098.2,,,
J,20260108-002340-qv8_theta0.30_w2,sea_abrupt4,2,ts_drift_adapt,,logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260108-002340-qv8_theta0.30_w2/sea_abrupt4__ts_drift_adapt__seed2.csv,0.87316,0.8295885675646597,0.703125,32,0.0,775.0,1770.6666666666667,2.284731182795699,0.75,335.0,1593.6,19.028059701492538,0.75,1079.0,,,
J,20260108-002340-qv8_theta0.30_w2,sea_abrupt4,3,ts_drift_adapt,,logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed3/20260108-002340-qv8_theta0.30_w2/sea_abrupt4__ts_drift_adapt__seed3.csv,0.86652,0.8231218718856395,0.6796875,31,0.0,743.0,1838.7692307692307,2.474790350968009,0.75,383.0,1707.4285714285713,17.832152182021634,0.75,1079.0,,,
J,20260108-002340-qv8_theta0.30_w2,sea_abrupt4,4,ts_drift_adapt,,logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed4/20260108-002340-qv8_theta0.30_w2/sea_abrupt4__ts_drift_adapt__seed4.csv,0.8548,0.8027025738092082,0.3359375,31,0.0,679.0,1856.0,2.7334315169366716,0.75,191.0,1664.0,34.84816753926702,0.75,1079.0,,,
J,20260108-002340-qv8_theta0.30_w2,sea_abrupt4,5,ts_drift_adapt,,logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed5/20260108-002340-qv8_theta0.30_w2/sea_abrupt4__ts_drift_adapt__seed5.csv,0.86734,0.8181450793208476,0.53125,32,0.0,679.0,1761.1851851851852,2.5937926144111714,0.5,359.0,1698.2857142857142,9.461201750895343,0.5,1079.0,,,
J,20260108-002340-qv8_theta0.30_w2,stagger_abrupt3,1,ts_drift_adapt,,logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed1/20260108-002340-qv8_theta0.30_w2/stagger_abrupt3__ts_drift_adapt__seed1.csv,0.9351953125,0.9529851799874473,0.84375,13,0.0,79.0,4332.8,54.845569620253166,0.0,79.0,4332.8,54.845569620253166,,117.39999999999999,,,
J,20260108-002340-qv8_theta0.30_w2,stagger_abrupt3,2,ts_drift_adapt,,logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed2/20260108-002340-qv8_theta0.30_w2/stagger_abrupt3__ts_drift_adapt__seed2.csv,0.9278125,0.9368551331470055,0.5625,17,0.0,79.0,3090.285714285714,39.11754068716094,0.0,79.0,3090.285714285714,39.11754068716094,,91.8,,,
J,20260108-002340-qv8_theta0.30_w2,stagger_abrupt3,3,ts_drift_adapt,,logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed3/20260108-002340-qv8_theta0.30_w2/stagger_abrupt3__ts_drift_adapt__seed3.csv,0.92978515625,0.9493502738603172,0.6875,16,0.0,47.0,3431.3846153846152,73.00818330605564,0.0,47.0,3717.3333333333335,79.09219858156028,,59.800000000000004,,,
J,20260108-002340-qv8_theta0.30_w2,stagger_abrupt3,4,ts_drift_adapt,,logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed4/20260108-002340-qv8_theta0.30_w2/stagger_abrupt3__ts_drift_adapt__seed4.csv,0.93369140625,0.9555127804306054,0.87890625,16,0.0,79.0,3451.076923076923,43.68451801363194,0.0,79.0,3451.076923076923,43.68451801363194,,91.8,,,
J,20260108-002340-qv8_theta0.30_w2,stagger_abrupt3,5,ts_drift_adapt,,logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed5/20260108-002340-qv8_theta0.30_w2/stagger_abrupt3__ts_drift_adapt__seed5.csv,0.93060546875,0.9460360966049389,0.796875,15,0.0,79.0,3616.0,45.77215189873418,0.0,79.0,3616.0,45.77215189873418,,117.39999999999999,,,
J,20260108-002519-4n4_theta0.30_w3,sea_abrupt4,1,ts_drift_adapt,,logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed1/20260108-002519-4n4_theta0.30_w3/sea_abrupt4__ts_drift_adapt__seed1.csv,0.86456,0.807627312375125,0.25,31,0.0,631.0,1848.6153846153845,2.9296598805315126,0.5,263.0,1716.5714285714287,13.053775122216187,0.5,1079.0,,,
J,20260108-002519-4n4_theta0.30_w3,sea_abrupt4,2,ts_drift_adapt,,logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed2/20260108-002519-4n4_theta0.30_w3/sea_abrupt4__ts_drift_adapt__seed2.csv,0.87224,0.8234936415241833,0.28125,31,0.0,727.0,1831.3846153846155,2.5190985080943817,0.75,335.0,1641.9310344827586,19.605146680391147,0.75,1079.0,,,
J,20260108-002519-4n4_theta0.30_w3,sea_abrupt4,3,ts_drift_adapt,,logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed3/20260108-002519-4n4_theta0.30_w3/sea_abrupt4__ts_drift_adapt__seed3.csv,0.87194,0.8314822389836937,0.6015625,32,0.0,903.0,1754.0740740740741,1.9424962060620976,1.0,,1527.741935483871,,1.0,1127.0,,,
J,20260108-002519-4n4_theta0.30_w3,sea_abrupt4,4,ts_drift_adapt,,logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed4/20260108-002519-4n4_theta0.30_w3/sea_abrupt4__ts_drift_adapt__seed4.csv,0.86878,0.8270365752427026,0.625,33,0.0,615.0,1725.7142857142858,2.8060394889663183,0.5,327.0,1666.2068965517242,10.190867868817884,0.5,1021.4000000000001,,,
J,20260108-002519-4n4_theta0.30_w3,sea_abrupt4,5,ts_drift_adapt,,logs/trackJ_twostage_sweep/sea_abrupt4/ts_drift_adapt/seed5/20260108-002519-4n4_theta0.30_w3/sea_abrupt4__ts_drift_adapt__seed5.csv,0.88418,0.8347204002180231,0.59375,31,0.0,695.0,1843.6923076923076,2.652794687327061,0.5,391.0,1775.4074074074074,9.081367812825613,0.5,1079.0,,,
J,20260108-002519-4n4_theta0.30_w3,stagger_abrupt3,1,ts_drift_adapt,,logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed1/20260108-002519-4n4_theta0.30_w3/stagger_abrupt3__ts_drift_adapt__seed1.csv,0.9254296875,0.9120035982921482,0.09375,15,0.0,47.0,3605.3333333333335,76.70921985815603,0.0,47.0,3605.3333333333335,76.70921985815603,,59.800000000000004,,,
J,20260108-002519-4n4_theta0.30_w3,stagger_abrupt3,2,ts_drift_adapt,,logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed2/20260108-002519-4n4_theta0.30_w3/stagger_abrupt3__ts_drift_adapt__seed2.csv,0.93576171875,0.9463855797011196,0.578125,12,0.0,79.0,4807.111111111111,60.849507735583686,0.0,79.0,4807.111111111111,60.849507735583686,,91.8,,,
J,20260108-002519-4n4_theta0.30_w3,stagger_abrupt3,3,ts_drift_adapt,,logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed3/20260108-002519-4n4_theta0.30_w3/stagger_abrupt3__ts_drift_adapt__seed3.csv,0.93078125,0.9414483671908878,0.140625,15,0.0,47.0,3738.6666666666665,79.54609929078013,0.0,47.0,3738.6666666666665,79.54609929078013,,59.800000000000004,,,
J,20260108-002519-4n4_theta0.30_w3,stagger_abrupt3,4,ts_drift_adapt,,logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed4/20260108-002519-4n4_theta0.30_w3/stagger_abrupt3__ts_drift_adapt__seed4.csv,0.9391796875,0.9564570227865462,0.578125,14,0.0,79.0,4020.3636363636365,50.890678941311855,0.0,79.0,4020.3636363636365,50.890678941311855,,91.8,,,
J,20260108-002519-4n4_theta0.30_w3,stagger_abrupt3,5,ts_drift_adapt,,logs/trackJ_twostage_sweep/stagger_abrupt3/ts_drift_adapt/seed5/20260108-002519-4n4_theta0.30_w3/stagger_abrupt3__ts_drift_adapt__seed5.csv,0.9291015625,0.9498502736517621,0.84375,14,0.0,79.0,4224.0,53.46835443037975,0.0,79.0,4224.0,53.46835443037975,,117.39999999999999,,,
